Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389
Random Forest,0.8888888888888888,0.898148148148148,0.8888888888888888,0.8877665544332212
SVM (Poly Kernel),0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
